test,xprize_subdomain,idtype_label,sex_label,age_measure_bin,n_obs,n_subjects
coding_correct,Psychomotor,Original,Women,<30,0,0
coding_correct,Psychomotor,Offspring,Women,<30,0,0
coding_correct,Psychomotor,Gen3,Women,<30,26,26
coding_correct,Psychomotor,Original,Women,30-34,0,0
coding_correct,Psychomotor,Offspring,Women,30-34,0,0
coding_correct,Psychomotor,Gen3,Women,30-34,68,68
coding_correct,Psychomotor,Original,Women,35-39,0,0
coding_correct,Psychomotor,Offspring,Women,35-39,0,0
coding_correct,Psychomotor,Gen3,Women,35-39,151,151
coding_correct,Psychomotor,Original,Women,40-44,0,0
coding_correct,Psychomotor,Offspring,Women,40-44,0,0
coding_correct,Psychomotor,Gen3,Women,40-44,266,264
coding_correct,Psychomotor,Original,Women,45-49,0,0
coding_correct,Psychomotor,Offspring,Women,45-49,2,2
coding_correct,Psychomotor,Gen3,Women,45-49,351,348
coding_correct,Psychomotor,Original,Women,50-54,0,0
coding_correct,Psychomotor,Offspring,Women,50-54,7,7
coding_correct,Psychomotor,Gen3,Women,50-54,382,380
coding_correct,Psychomotor,Original,Women,55-59,0,0
coding_correct,Psychomotor,Offspring,Women,55-59,38,35
coding_correct,Psychomotor,Gen3,Women,55-59,328,327
coding_correct,Psychomotor,Original,Women,60-64,0,0
coding_correct,Psychomotor,Offspring,Women,60-64,121,116
coding_correct,Psychomotor,Gen3,Women,60-64,198,196
coding_correct,Psychomotor,Original,Women,65-69,0,0
coding_correct,Psychomotor,Offspring,Women,65-69,259,248
coding_correct,Psychomotor,Gen3,Women,65-69,70,68
coding_correct,Psychomotor,Original,Women,70-74,0,0
coding_correct,Psychomotor,Offspring,Women,70-74,284,261
coding_correct,Psychomotor,Gen3,Women,70-74,16,16
coding_correct,Psychomotor,Original,Women,75-79,0,0
coding_correct,Psychomotor,Offspring,Women,75-79,210,197
coding_correct,Psychomotor,Gen3,Women,75-79,4,4
coding_correct,Psychomotor,Original,Women,80-84,0,0
coding_correct,Psychomotor,Offspring,Women,80-84,151,138
coding_correct,Psychomotor,Gen3,Women,80-84,1,1
coding_correct,Psychomotor,Original,Women,85-89,1,1
coding_correct,Psychomotor,Offspring,Women,85-89,84,74
coding_correct,Psychomotor,Gen3,Women,85-89,1,1
coding_correct,Psychomotor,Original,Women,>=90,34,29
coding_correct,Psychomotor,Offspring,Women,>=90,33,25
coding_correct,Psychomotor,Gen3,Women,>=90,0,0
coding_correct,Psychomotor,Original,Men,<30,0,0
coding_correct,Psychomotor,Offspring,Men,<30,0,0
coding_correct,Psychomotor,Gen3,Men,<30,19,19
coding_correct,Psychomotor,Original,Men,30-34,0,0
coding_correct,Psychomotor,Offspring,Men,30-34,0,0
coding_correct,Psychomotor,Gen3,Men,30-34,60,60
coding_correct,Psychomotor,Original,Men,35-39,0,0
coding_correct,Psychomotor,Offspring,Men,35-39,0,0
coding_correct,Psychomotor,Gen3,Men,35-39,116,116
coding_correct,Psychomotor,Original,Men,40-44,0,0
coding_correct,Psychomotor,Offspring,Men,40-44,0,0
coding_correct,Psychomotor,Gen3,Men,40-44,203,203
coding_correct,Psychomotor,Original,Men,45-49,0,0
coding_correct,Psychomotor,Offspring,Men,45-49,1,1
coding_correct,Psychomotor,Gen3,Men,45-49,342,338
