test,sex_label,n_subjects_full,n_subjects_repeated,n_obs_full,n_obs_repeated,n_subjects_dropped,pct_subjects_retained
coding_correct,Women,2160,874,3086,1800,1286,40.46296296296296
coding_correct,Men,1808,775,2632,1599,1033,42.86504424778761
dsb,Women,3426,2003,7106,5683,1423,58.46468184471687
dsb,Men,2735,1553,5368,4186,1182,56.782449725776964
dsf,Women,3443,2037,7195,5789,1406,59.1635201858844
dsf,Men,2753,1573,5440,4260,1180,57.13766799854704
lmd,Women,3707,2313,8638,7244,1394,62.39546803345023
lmd,Men,3004,1863,6678,5537,1141,62.017310252996005
lmi,Women,3723,2319,8702,7298,1404,62.288477034649475
lmi,Men,3010,1870,6710,5570,1140,62.12624584717608
lmr,Women,3267,1975,7456,6164,1292,60.45301499846954
lmr,Men,2688,1580,5823,4715,1108,58.779761904761905
pasd,Women,3238,1936,7311,6009,1302,59.78999382334774
pasd,Men,2679,1549,5742,4612,1130,57.8200821201941
pasi,Women,3644,2115,8244,6715,1529,58.04061470911087
pasi,Men,2954,1678,6339,5063,1276,56.80433310765064
pasr,Women,2708,1428,4699,3419,1280,52.732644017725256
pasr,Men,2260,1128,3795,2663,1132,49.91150442477876
trailsa,Women,3208,2027,7290,6109,1181,63.1857855361596
trailsa,Men,2677,1698,5904,4925,979,63.4292118042585
trailsb,Women,3162,1968,7055,5861,1194,62.239089184060724
trailsb,Men,2658,1662,5765,4769,996,62.52821670428894
vrd,Women,3670,2266,8392,6988,1404,61.74386920980926
vrd,Men,2984,1848,6607,5471,1136,61.93029490616622
vri,Women,3677,2275,8440,7038,1402,61.87109056295893
vri,Men,2995,1858,6651,5514,1137,62.03672787979966
vrr,Women,3651,2149,8204,6702,1502,58.86058614078335
vrr,Men,2979,1708,6421,5150,1271,57.33467606579389
