xprize_subdomain,test,test_label,sex_label,age_label,age_bin,N,N reversal 5yr,N reversal 10yr,N reversal 15yr,N reversal 20yr
Attention,dsf,Digit Span Forward,Women,50-54,50,201,57,57,52,14
Attention,dsf,Digit Span Forward,Women,55-59,55,227,55,55,55,46
Attention,dsf,Digit Span Forward,Women,60-64,60,246,57,57,57,57
Attention,dsf,Digit Span Forward,Women,65-69,65,224,39,34,34,34
Attention,dsf,Digit Span Forward,Women,70-74,70,185,26,15,15,15
Attention,dsf,Digit Span Forward,Women,75-79,75,214,36,25,24,24
Attention,dsf,Digit Span Forward,Women,80-84,80,217,47,39,36,35
Attention,dsf,Digit Span Forward,Women,85-90,85,148,29,20,19,18
Attention,dsf,Digit Span Forward,Men,50-54,50,155,38,18,0,0
Attention,dsf,Digit Span Forward,Men,55-59,55,204,64,64,0,0
Attention,dsf,Digit Span Forward,Men,60-64,60,191,45,45,8,0
Attention,dsf,Digit Span Forward,Men,65-69,65,216,38,38,32,2
Attention,dsf,Digit Span Forward,Men,70-74,70,172,33,33,33,9
Attention,dsf,Digit Span Forward,Men,75-79,75,151,26,26,26,26
Attention,dsf,Digit Span Forward,Men,80-84,80,112,28,28,28,28
Attention,dsf,Digit Span Forward,Men,85-90,85,51,10,9,9,9
Executive Function & Processing,dsb,Digit Span Backward,Women,50-54,50,198,61,24,3,0
Executive Function & Processing,dsb,Digit Span Backward,Women,55-59,55,225,67,65,8,2
Executive Function & Processing,dsb,Digit Span Backward,Women,60-64,60,240,66,66,49,4
Executive Function & Processing,dsb,Digit Span Backward,Women,65-69,65,218,48,48,48,18
Executive Function & Processing,dsb,Digit Span Backward,Women,70-74,70,185,42,42,42,42
Executive Function & Processing,dsb,Digit Span Backward,Women,75-79,75,205,14,14,14,14
Executive Function & Processing,dsb,Digit Span Backward,Women,80-84,80,215,52,41,41,41
Executive Function & Processing,dsb,Digit Span Backward,Women,85-90,85,144,24,19,18,18
Executive Function & Processing,dsb,Digit Span Backward,Men,50-54,50,153,53,46,15,2
Executive Function & Processing,dsb,Digit Span Backward,Men,55-59,55,200,63,63,49,13
Executive Function & Processing,dsb,Digit Span Backward,Men,60-64,60,186,49,49,49,38
Executive Function & Processing,dsb,Digit Span Backward,Men,65-69,65,213,46,46,46,46
Executive Function & Processing,dsb,Digit Span Backward,Men,70-74,70,168,38,37,37,37
Executive Function & Processing,dsb,Digit Span Backward,Men,75-79,75,150,17,14,14,14
Executive Function & Processing,dsb,Digit Span Backward,Men,80-84,80,110,26,21,20,20
Executive Function & Processing,dsb,Digit Span Backward,Men,85-90,85,51,10,9,7,7
Executive Function & Processing,trailsb,Trail Making Test Part B,Women,50-54,50,337,6,6,5,1
Executive Function & Processing,trailsb,Trail Making Test Part B,Women,55-59,55,326,11,11,11,0
Executive Function & Processing,trailsb,Trail Making Test Part B,Women,60-64,60,238,16,16,16,16
Executive Function & Processing,trailsb,Trail Making Test Part B,Women,65-69,65,184,4,2,2,2
Executive Function & Processing,trailsb,Trail Making Test Part B,Women,70-74,70,144,2,0,0,0
Executive Function & Processing,trailsb,Trail Making Test Part B,Women,75-79,75,89,4,2,1,1
Executive Function & Processing,trailsb,Trail Making Test Part B,Women,80-84,80,129,19,6,4,3
Executive Function & Processing,trailsb,Trail Making Test Part B,Women,85-90,85,79,7,3,1,1
Executive Function & Processing,trailsb,Trail Making Test Part B,Men,50-54,50,267,12,12,11,0
Executive Function & Processing,trailsb,Trail Making Test Part B,Men,55-59,55,294,5,5,5,3
Executive Function & Processing,trailsb,Trail Making Test Part B,Men,60-64,60,211,7,7,7,7
Executive Function & Processing,trailsb,Trail Making Test Part B,Men,65-69,65,162,2,1,1,1
Executive Function & Processing,trailsb,Trail Making Test Part B,Men,70-74,70,144,2,0,0,0
Executive Function & Processing,trailsb,Trail Making Test Part B,Men,75-79,75,71,2,0,0,0
Executive Function & Processing,trailsb,Trail Making Test Part B,Men,80-84,80,78,8,5,2,2
Executive Function & Processing,trailsb,Trail Making Test Part B,Men,85-90,85,48,5,4,4,4
