xprize_subdomain,test,test_label,sex_label,age_label,age_bin,N,N reversal 5yr,N reversal 10yr,N reversal 15yr,N reversal 20yr
Attention,dsf,Digit Span Forward,Women,50-54,50,201,0,5,38,14
Attention,dsf,Digit Span Forward,Women,55-59,55,227,0,0,9,46
Attention,dsf,Digit Span Forward,Women,60-64,60,246,0,0,0,57
Attention,dsf,Digit Span Forward,Women,65-69,65,224,5,0,0,34
Attention,dsf,Digit Span Forward,Women,70-74,70,185,11,0,0,15
Attention,dsf,Digit Span Forward,Women,75-79,75,214,11,1,0,24
Attention,dsf,Digit Span Forward,Women,80-84,80,217,8,3,1,35
Attention,dsf,Digit Span Forward,Women,85-90,85,148,9,1,1,18
Attention,dsf,Digit Span Forward,Men,50-54,50,155,20,18,0,0
Attention,dsf,Digit Span Forward,Men,55-59,55,204,0,64,0,0
Attention,dsf,Digit Span Forward,Men,60-64,60,191,0,37,8,0
Attention,dsf,Digit Span Forward,Men,65-69,65,216,0,6,30,2
Attention,dsf,Digit Span Forward,Men,70-74,70,172,0,0,24,9
Attention,dsf,Digit Span Forward,Men,75-79,75,151,0,0,0,26
Attention,dsf,Digit Span Forward,Men,80-84,80,112,0,0,0,28
Attention,dsf,Digit Span Forward,Men,85-90,85,51,1,0,0,9
Executive Function & Processing,dsb,Digit Span Backward,Women,50-54,50,198,37,21,3,0
Executive Function & Processing,dsb,Digit Span Backward,Women,55-59,55,225,2,57,6,2
Executive Function & Processing,dsb,Digit Span Backward,Women,60-64,60,240,0,17,45,4
Executive Function & Processing,dsb,Digit Span Backward,Women,65-69,65,218,0,0,30,18
Executive Function & Processing,dsb,Digit Span Backward,Women,70-74,70,185,0,0,0,42
Executive Function & Processing,dsb,Digit Span Backward,Women,75-79,75,205,0,0,0,14
Executive Function & Processing,dsb,Digit Span Backward,Women,80-84,80,215,11,0,0,41
Executive Function & Processing,dsb,Digit Span Backward,Women,85-90,85,144,5,1,0,18
Executive Function & Processing,dsb,Digit Span Backward,Men,50-54,50,153,7,31,13,2
Executive Function & Processing,dsb,Digit Span Backward,Men,55-59,55,200,0,14,36,13
Executive Function & Processing,dsb,Digit Span Backward,Men,60-64,60,186,0,0,11,38
Executive Function & Processing,dsb,Digit Span Backward,Men,65-69,65,213,0,0,0,46
Executive Function & Processing,dsb,Digit Span Backward,Men,70-74,70,168,1,0,0,37
Executive Function & Processing,dsb,Digit Span Backward,Men,75-79,75,150,3,0,0,14
Executive Function & Processing,dsb,Digit Span Backward,Men,80-84,80,110,5,1,0,20
Executive Function & Processing,dsb,Digit Span Backward,Men,85-90,85,51,1,2,0,7
Executive Function & Processing,trailsb,Trail Making Test Part B,Women,50-54,50,337,0,1,4,1
Executive Function & Processing,trailsb,Trail Making Test Part B,Women,55-59,55,326,0,0,11,0
Executive Function & Processing,trailsb,Trail Making Test Part B,Women,60-64,60,238,0,0,0,16
Executive Function & Processing,trailsb,Trail Making Test Part B,Women,65-69,65,184,2,0,0,2
Executive Function & Processing,trailsb,Trail Making Test Part B,Women,70-74,70,144,2,0,0,0
Executive Function & Processing,trailsb,Trail Making Test Part B,Women,75-79,75,89,2,1,0,1
Executive Function & Processing,trailsb,Trail Making Test Part B,Women,80-84,80,129,13,2,1,3
Executive Function & Processing,trailsb,Trail Making Test Part B,Women,85-90,85,79,4,2,0,1
Executive Function & Processing,trailsb,Trail Making Test Part B,Men,50-54,50,267,0,1,11,0
Executive Function & Processing,trailsb,Trail Making Test Part B,Men,55-59,55,294,0,0,2,3
Executive Function & Processing,trailsb,Trail Making Test Part B,Men,60-64,60,211,0,0,0,7
Executive Function & Processing,trailsb,Trail Making Test Part B,Men,65-69,65,162,1,0,0,1
Executive Function & Processing,trailsb,Trail Making Test Part B,Men,70-74,70,144,2,0,0,0
Executive Function & Processing,trailsb,Trail Making Test Part B,Men,75-79,75,71,2,0,0,0
Executive Function & Processing,trailsb,Trail Making Test Part B,Men,80-84,80,78,3,3,0,2
Executive Function & Processing,trailsb,Trail Making Test Part B,Men,85-90,85,48,1,0,0,4
Memory,lmd,"Logical Memory, delayed recall",Women,50-54,50,342,34,2,1,0
Memory,lmd,"Logical Memory, delayed recall",Women,55-59,55,334,46,30,15,6
Memory,lmd,"Logical Memory, delayed recall",Women,60-64,60,251,4,19,45,46
Memory,lmd,"Logical Memory, delayed recall",Women,65-69,65,224,32,11,2,26
Memory,lmd,"Logical Memory, delayed recall",Women,70-74,70,201,31,5,2,5
Memory,lmd,"Logical Memory, delayed recall",Women,75-79,75,176,10,1,2,7
Memory,lmd,"Logical Memory, delayed recall",Women,80-84,80,186,20,18,5,5
Memory,lmd,"Logical Memory, delayed recall",Women,85-90,85,136,14,7,3,2
Memory,lmd,"Logical Memory, delayed recall",Men,50-54,50,277,22,2,1,0
Memory,lmd,"Logical Memory, delayed recall",Men,55-59,55,299,47,7,4,0
Memory,lmd,"Logical Memory, delayed recall",Men,60-64,60,220,25,44,19,5
Memory,lmd,"Logical Memory, delayed recall",Men,65-69,65,209,8,2,28,47
Memory,lmd,"Logical Memory, delayed recall",Men,70-74,70,203,21,9,4,19
Memory,lmd,"Logical Memory, delayed recall",Men,75-79,75,133,14,4,4,11
Memory,lmd,"Logical Memory, delayed recall",Men,80-84,80,81,5,4,2,6
Memory,lmd,"Logical Memory, delayed recall",Men,85-90,85,46,7,4,2,3
Memory,lmi,"Logical Memory, immediate recall",Women,50-54,50,342,38,8,3,0
Memory,lmi,"Logical Memory, immediate recall",Women,55-59,55,334,42,36,29,15
Memory,lmi,"Logical Memory, immediate recall",Women,60-64,60,250,9,5,17,90
Memory,lmi,"Logical Memory, immediate recall",Women,65-69,65,226,21,16,3,15
Memory,lmi,"Logical Memory, immediate recall",Women,70-74,70,203,20,9,3,3
Memory,lmi,"Logical Memory, immediate recall",Women,75-79,75,179,12,5,2,7
Memory,lmi,"Logical Memory, immediate recall",Women,80-84,80,188,29,8,6,3
Memory,lmi,"Logical Memory, immediate recall",Women,85-90,85,137,8,9,2,2
Memory,lmi,"Logical Memory, immediate recall",Men,50-54,50,276,16,3,0,1
Memory,lmi,"Logical Memory, immediate recall",Men,55-59,55,298,45,8,2,2
Memory,lmi,"Logical Memory, immediate recall",Men,60-64,60,219,22,16,19,27
Memory,lmi,"Logical Memory, immediate recall",Men,65-69,65,210,12,8,2,47
Memory,lmi,"Logical Memory, immediate recall",Men,70-74,70,205,24,9,2,13
Memory,lmi,"Logical Memory, immediate recall",Men,75-79,75,137,17,5,2,7
Memory,lmi,"Logical Memory, immediate recall",Men,80-84,80,86,5,3,6,4
Memory,lmi,"Logical Memory, immediate recall",Men,85-90,85,46,3,4,3,3
Memory,lmr,"Logical Memory, recognition",Women,50-54,50,312,52,45,2,0
Memory,lmr,"Logical Memory, recognition",Women,55-59,55,317,1,90,13,0
Memory,lmr,"Logical Memory, recognition",Women,60-64,60,245,0,32,43,1
Memory,lmr,"Logical Memory, recognition",Women,65-69,65,191,7,0,36,16
Memory,lmr,"Logical Memory, recognition",Women,70-74,70,151,0,0,0,42
Memory,lmr,"Logical Memory, recognition",Women,75-79,75,95,8,0,0,12
Memory,lmr,"Logical Memory, recognition",Women,80-84,80,156,5,6,3,40
Memory,lmr,"Logical Memory, recognition",Women,85-90,85,107,3,10,8,17
Memory,lmr,"Logical Memory, recognition",Men,50-54,50,249,0,74,31,1
Memory,lmr,"Logical Memory, recognition",Men,55-59,55,279,0,7,68,20
Memory,lmr,"Logical Memory, recognition",Men,60-64,60,210,0,0,9,73
Memory,lmr,"Logical Memory, recognition",Men,65-69,65,168,4,0,0,43
Memory,lmr,"Logical Memory, recognition",Men,70-74,70,149,8,4,1,12
Memory,lmr,"Logical Memory, recognition",Men,75-79,75,77,7,3,0,13
Memory,lmr,"Logical Memory, recognition",Men,80-84,80,84,3,2,1,24
Memory,lmr,"Logical Memory, recognition",Men,85-90,85,50,1,3,3,6
Memory,pasd,"Paired Associates, delayed recall",Women,50-54,50,310,0,2,54,1
Memory,pasd,"Paired Associates, delayed recall",Women,55-59,55,310,0,0,40,5
Memory,pasd,"Paired Associates, delayed recall",Women,60-64,60,239,2,0,2,51
Memory,pasd,"Paired Associates, delayed recall",Women,65-69,65,191,6,0,0,13
Memory,pasd,"Paired Associates, delayed recall",Women,70-74,70,148,10,0,0,1
Memory,pasd,"Paired Associates, delayed recall",Women,75-79,75,92,3,3,1,1
Memory,pasd,"Paired Associates, delayed recall",Women,80-84,80,152,15,14,3,4
Memory,pasd,"Paired Associates, delayed recall",Women,85-90,85,100,14,2,5,0
Memory,pasd,"Paired Associates, delayed recall",Men,50-54,50,245,35,28,11,0
Memory,pasd,"Paired Associates, delayed recall",Men,55-59,55,274,0,4,30,46
Memory,pasd,"Paired Associates, delayed recall",Men,60-64,60,209,12,2,0,60
Memory,pasd,"Paired Associates, delayed recall",Men,65-69,65,166,17,9,1,7
Memory,pasd,"Paired Associates, delayed recall",Men,70-74,70,145,14,5,0,8
Memory,pasd,"Paired Associates, delayed recall",Men,75-79,75,75,3,2,0,4
Memory,pasd,"Paired Associates, delayed recall",Men,80-84,80,80,5,10,2,7
Memory,pasd,"Paired Associates, delayed recall",Men,85-90,85,47,5,9,1,5
Memory,pasi,"Paired Associates, immediate recall",Women,50-54,50,305,0,111,8,0
Memory,pasi,"Paired Associates, immediate recall",Women,55-59,55,310,0,20,63,1
Memory,pasi,"Paired Associates, immediate recall",Women,60-64,60,239,0,0,43,8
Memory,pasi,"Paired Associates, immediate recall",Women,65-69,65,222,0,0,0,45
Memory,pasi,"Paired Associates, immediate recall",Women,70-74,70,197,5,0,0,13
Memory,pasi,"Paired Associates, immediate recall",Women,75-79,75,172,9,2,0,4
Memory,pasi,"Paired Associates, immediate recall",Women,80-84,80,176,13,8,3,6
Memory,pasi,"Paired Associates, immediate recall",Women,85-90,85,123,12,3,4,0
Memory,pasi,"Paired Associates, immediate recall",Men,50-54,50,247,18,84,4,0
Memory,pasi,"Paired Associates, immediate recall",Men,55-59,55,274,0,36,53,3
Memory,pasi,"Paired Associates, immediate recall",Men,60-64,60,210,0,0,40,18
Memory,pasi,"Paired Associates, immediate recall",Men,65-69,65,204,1,0,0,44
Memory,pasi,"Paired Associates, immediate recall",Men,70-74,70,197,13,3,0,14
Memory,pasi,"Paired Associates, immediate recall",Men,75-79,75,127,10,8,0,5
Memory,pasi,"Paired Associates, immediate recall",Men,80-84,80,78,6,4,0,4
Memory,pasi,"Paired Associates, immediate recall",Men,85-90,85,45,5,2,4,1
Memory,pasr,"Paired Associates, recognition",Women,50-54,50,161,0,3,0,0
Memory,pasr,"Paired Associates, recognition",Women,55-59,55,196,0,7,0,0
Memory,pasr,"Paired Associates, recognition",Women,60-64,60,232,0,1,4,0
Memory,pasr,"Paired Associates, recognition",Women,65-69,65,185,0,0,4,1
Memory,pasr,"Paired Associates, recognition",Women,70-74,70,113,0,0,0,3
Memory,pasr,"Paired Associates, recognition",Women,75-79,75,110,2,0,0,5
Memory,pasr,"Paired Associates, recognition",Women,80-84,80,67,3,0,0,0
Memory,pasr,"Paired Associates, recognition",Women,85-90,85,75,6,1,0,0
Memory,pasr,"Paired Associates, recognition",Men,50-54,50,127,8,0,0,0
Memory,pasr,"Paired Associates, recognition",Men,55-59,55,172,2,5,0,0
Memory,pasr,"Paired Associates, recognition",Men,60-64,60,171,0,0,3,13
Memory,pasr,"Paired Associates, recognition",Men,65-69,65,166,0,0,0,9
Memory,pasr,"Paired Associates, recognition",Men,70-74,70,98,1,0,0,2
Memory,pasr,"Paired Associates, recognition",Men,75-79,75,89,0,1,0,1
Memory,pasr,"Paired Associates, recognition",Men,80-84,80,44,4,0,0,2
Memory,pasr,"Paired Associates, recognition",Men,85-90,85,31,1,1,1,1
Psychomotor,coding_correct,"WAIS-IV Coding, total correct",Women,50-54,50,139,2,0,0,0
Psychomotor,coding_correct,"WAIS-IV Coding, total correct",Women,55-59,55,94,1,0,0,0
Psychomotor,coding_correct,"WAIS-IV Coding, total correct",Women,60-64,60,75,1,0,0,0
Psychomotor,coding_correct,"WAIS-IV Coding, total correct",Women,65-69,65,87,1,0,0,0
Psychomotor,coding_correct,"WAIS-IV Coding, total correct",Women,70-74,70,71,1,0,0,0
Psychomotor,coding_correct,"WAIS-IV Coding, total correct",Women,75-79,75,46,0,0,0,0
Psychomotor,coding_correct,"WAIS-IV Coding, total correct",Women,80-84,80,35,0,0,0,0
Psychomotor,coding_correct,"WAIS-IV Coding, total correct",Women,85-90,85,14,0,0,0,0
Psychomotor,coding_correct,"WAIS-IV Coding, total correct",Men,50-54,50,115,0,0,0,19
Psychomotor,coding_correct,"WAIS-IV Coding, total correct",Men,55-59,55,112,3,2,0,0
Psychomotor,coding_correct,"WAIS-IV Coding, total correct",Men,60-64,60,55,1,0,0,0
Psychomotor,coding_correct,"WAIS-IV Coding, total correct",Men,65-69,65,71,0,0,0,0
Psychomotor,coding_correct,"WAIS-IV Coding, total correct",Men,70-74,70,67,1,0,0,0
Psychomotor,coding_correct,"WAIS-IV Coding, total correct",Men,75-79,75,34,1,0,0,0
Psychomotor,coding_correct,"WAIS-IV Coding, total correct",Men,80-84,80,23,0,0,0,0
Psychomotor,coding_correct,"WAIS-IV Coding, total correct",Men,85-90,85,8,0,0,0,0
Psychomotor,trailsa,Trail Making Test Part A,Women,50-54,50,339,0,0,2,1
Psychomotor,trailsa,Trail Making Test Part A,Women,55-59,55,330,0,0,0,14
Psychomotor,trailsa,Trail Making Test Part A,Women,60-64,60,246,0,0,0,1
Psychomotor,trailsa,Trail Making Test Part A,Women,65-69,65,190,3,0,0,0
Psychomotor,trailsa,Trail Making Test Part A,Women,70-74,70,147,0,1,0,0
Psychomotor,trailsa,Trail Making Test Part A,Women,75-79,75,89,2,0,0,0
Psychomotor,trailsa,Trail Making Test Part A,Women,80-84,80,132,10,5,1,0
Psychomotor,trailsa,Trail Making Test Part A,Women,85-90,85,94,4,5,1,0
Psychomotor,trailsa,Trail Making Test Part A,Men,50-54,50,269,0,0,24,0
Psychomotor,trailsa,Trail Making Test Part A,Men,55-59,55,298,0,0,3,0
Psychomotor,trailsa,Trail Making Test Part A,Men,60-64,60,215,0,0,0,29
Psychomotor,trailsa,Trail Making Test Part A,Men,65-69,65,170,3,0,0,0
Psychomotor,trailsa,Trail Making Test Part A,Men,70-74,70,147,2,0,0,0
Psychomotor,trailsa,Trail Making Test Part A,Men,75-79,75,73,5,0,0,0
Psychomotor,trailsa,Trail Making Test Part A,Men,80-84,80,80,9,0,1,0
Psychomotor,trailsa,Trail Making Test Part A,Men,85-90,85,49,6,2,0,0
Visual Learning,vrd,"Visual Reproductions, delayed recall",Women,50-54,50,343,42,26,24,19
Visual Learning,vrd,"Visual Reproductions, delayed recall",Women,55-59,55,332,46,23,5,6
Visual Learning,vrd,"Visual Reproductions, delayed recall",Women,60-64,60,248,30,8,5,3
Visual Learning,vrd,"Visual Reproductions, delayed recall",Women,65-69,65,223,16,7,1,3
Visual Learning,vrd,"Visual Reproductions, delayed recall",Women,70-74,70,196,12,4,3,2
Visual Learning,vrd,"Visual Reproductions, delayed recall",Women,75-79,75,164,10,3,2,4
Visual Learning,vrd,"Visual Reproductions, delayed recall",Women,80-84,80,170,13,11,3,6
Visual Learning,vrd,"Visual Reproductions, delayed recall",Women,85-90,85,127,11,5,1,3
Visual Learning,vrd,"Visual Reproductions, delayed recall",Men,50-54,50,274,62,45,4,0
Visual Learning,vrd,"Visual Reproductions, delayed recall",Men,55-59,55,298,0,62,44,5
Visual Learning,vrd,"Visual Reproductions, delayed recall",Men,60-64,60,220,0,0,32,30
Visual Learning,vrd,"Visual Reproductions, delayed recall",Men,65-69,65,210,9,2,0,35
Visual Learning,vrd,"Visual Reproductions, delayed recall",Men,70-74,70,201,16,6,0,11
Visual Learning,vrd,"Visual Reproductions, delayed recall",Men,75-79,75,128,7,2,1,5
Visual Learning,vrd,"Visual Reproductions, delayed recall",Men,80-84,80,77,6,4,3,1
Visual Learning,vrd,"Visual Reproductions, delayed recall",Men,85-90,85,42,5,2,2,0
Visual Learning,vri,"Visual Reproductions, immediate recall",Women,50-54,50,345,56,41,21,7
Visual Learning,vri,"Visual Reproductions, immediate recall",Women,55-59,55,333,44,23,7,4
Visual Learning,vri,"Visual Reproductions, immediate recall",Women,60-64,60,249,34,11,1,2
Visual Learning,vri,"Visual Reproductions, immediate recall",Women,65-69,65,226,16,7,1,0
Visual Learning,vri,"Visual Reproductions, immediate recall",Women,70-74,70,197,9,3,3,0
Visual Learning,vri,"Visual Reproductions, immediate recall",Women,75-79,75,165,14,1,2,2
Visual Learning,vri,"Visual Reproductions, immediate recall",Women,80-84,80,171,22,10,4,5
Visual Learning,vri,"Visual Reproductions, immediate recall",Women,85-90,85,130,13,2,4,1
Visual Learning,vri,"Visual Reproductions, immediate recall",Men,50-54,50,275,0,32,72,3
Visual Learning,vri,"Visual Reproductions, immediate recall",Men,55-59,55,298,1,0,16,92
Visual Learning,vri,"Visual Reproductions, immediate recall",Men,60-64,60,221,15,1,0,23
Visual Learning,vri,"Visual Reproductions, immediate recall",Men,65-69,65,210,21,3,1,13
Visual Learning,vri,"Visual Reproductions, immediate recall",Men,70-74,70,204,13,6,2,9
Visual Learning,vri,"Visual Reproductions, immediate recall",Men,75-79,75,131,7,8,2,3
Visual Learning,vri,"Visual Reproductions, immediate recall",Men,80-84,80,80,8,6,6,2
Visual Learning,vri,"Visual Reproductions, immediate recall",Men,85-90,85,41,2,3,1,2
Visual Learning,vrr,"Visual Reproductions, recognition",Women,50-54,50,314,0,51,11,1
Visual Learning,vrr,"Visual Reproductions, recognition",Women,55-59,55,316,0,7,67,4
Visual Learning,vrr,"Visual Reproductions, recognition",Women,60-64,60,244,0,0,45,11
Visual Learning,vrr,"Visual Reproductions, recognition",Women,65-69,65,223,0,0,2,45
Visual Learning,vrr,"Visual Reproductions, recognition",Women,70-74,70,195,9,0,0,37
Visual Learning,vrr,"Visual Reproductions, recognition",Women,75-79,75,162,22,3,0,15
Visual Learning,vrr,"Visual Reproductions, recognition",Women,80-84,80,169,11,6,0,30
Visual Learning,vrr,"Visual Reproductions, recognition",Women,85-90,85,124,7,8,2,22
Visual Learning,vrr,"Visual Reproductions, recognition",Men,50-54,50,249,29,5,1,0
Visual Learning,vrr,"Visual Reproductions, recognition",Men,55-59,55,280,39,24,5,5
Visual Learning,vrr,"Visual Reproductions, recognition",Men,60-64,60,216,1,14,10,26
Visual Learning,vrr,"Visual Reproductions, recognition",Men,65-69,65,206,2,0,0,52
Visual Learning,vrr,"Visual Reproductions, recognition",Men,70-74,70,200,7,4,2,28
Visual Learning,vrr,"Visual Reproductions, recognition",Men,75-79,75,129,12,3,2,19
Visual Learning,vrr,"Visual Reproductions, recognition",Men,80-84,80,73,4,5,1,13
Visual Learning,vrr,"Visual Reproductions, recognition",Men,85-90,85,40,0,2,1,11
