model_version,test,equation,term,estimate,std_error,p_value,n_obs
crude_2visit,coding_correct,baseline_firsttest,(Intercept),88.46,5.95,0.000,1649
crude_2visit,coding_correct,baseline_firsttest,age_bl,0.03,0.21,0.894,1649
crude_2visit,coding_correct,baseline_firsttest,I(age_bl^2),-0.01,0.00,0.001,1649
crude_2visit,coding_correct,baseline_firsttest,sex_labelMen,-5.23,9.04,0.563,1649
crude_2visit,coding_correct,baseline_firsttest,age_bl:sex_labelMen,-0.06,0.32,0.841,1649
crude_2visit,coding_correct,baseline_firsttest,I(age_bl^2):sex_labelMen,0.00,0.00,0.807,1649
crude_2visit,coding_correct,first_followup_retest,(Intercept),84.43,8.15,0.000,1649
crude_2visit,coding_correct,first_followup_retest,age_fu1,0.24,0.26,0.361,1649
crude_2visit,coding_correct,first_followup_retest,I(age_fu1^2),-0.01,0.00,0.000,1649
crude_2visit,coding_correct,first_followup_retest,sex_labelMen,-3.85,12.42,0.757,1649
crude_2visit,coding_correct,first_followup_retest,age_fu1:sex_labelMen,-0.08,0.40,0.843,1649
crude_2visit,coding_correct,first_followup_retest,I(age_fu1^2):sex_labelMen,0.00,0.00,0.814,1649
crude_2visit,dsb,baseline_firsttest,(Intercept),4.50,0.48,0.000,3556
crude_2visit,dsb,baseline_firsttest,age_bl,0.04,0.02,0.019,3556
crude_2visit,dsb,baseline_firsttest,I(age_bl^2),0.00,0.00,0.000,3556
crude_2visit,dsb,baseline_firsttest,sex_labelMen,0.96,0.75,0.200,3556
crude_2visit,dsb,baseline_firsttest,age_bl:sex_labelMen,-0.03,0.02,0.253,3556
crude_2visit,dsb,baseline_firsttest,I(age_bl^2):sex_labelMen,0.00,0.00,0.357,3556
crude_2visit,dsb,first_followup_retest,(Intercept),5.42,0.62,0.000,3556
crude_2visit,dsb,first_followup_retest,age_fu1,0.01,0.02,0.494,3556
crude_2visit,dsb,first_followup_retest,I(age_fu1^2),0.00,0.00,0.016,3556
crude_2visit,dsb,first_followup_retest,sex_labelMen,-0.17,0.97,0.859,3556
crude_2visit,dsb,first_followup_retest,age_fu1:sex_labelMen,0.01,0.03,0.714,3556
crude_2visit,dsb,first_followup_retest,I(age_fu1^2):sex_labelMen,0.00,0.00,0.573,3556
crude_2visit,dsf,baseline_firsttest,(Intercept),5.87,0.47,0.000,3610
crude_2visit,dsf,baseline_firsttest,age_bl,0.05,0.02,0.001,3610
crude_2visit,dsf,baseline_firsttest,I(age_bl^2),0.00,0.00,0.000,3610
crude_2visit,dsf,baseline_firsttest,sex_labelMen,0.69,0.74,0.350,3610
crude_2visit,dsf,baseline_firsttest,age_bl:sex_labelMen,-0.02,0.02,0.408,3610
crude_2visit,dsf,baseline_firsttest,I(age_bl^2):sex_labelMen,0.00,0.00,0.362,3610
crude_2visit,dsf,first_followup_retest,(Intercept),6.86,0.61,0.000,3610
crude_2visit,dsf,first_followup_retest,age_fu1,0.02,0.02,0.258,3610
crude_2visit,dsf,first_followup_retest,I(age_fu1^2),0.00,0.00,0.005,3610
